DoorSizeID,Size,Description, UnitSell ,DateEntered,Height,Width,Thickness,ThicknessType
1,834 x 2097,"Door, Assembly, 2097 x 834mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,600.41 ",10/12/2023,834, 2097,64,Fully Sealed
2,834 x 2177,"Door, Assembly, 2177 x 834mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,600.41 ",10/12/2023,834, 2177,64,Fully Sealed
3,834 x 2397,"Door, Assembly, 2397 x 834mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,949.32 ",10/12/2023,834, 2397,64,Fully Sealed
4,884 x 2097,"Door, Assembly, 2097 x 884mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,600.41 ",10/12/2023,884, 2097,64,Fully Sealed
5,884 x 2177,"Door, Assembly, 2177 x 884mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,600.41 ",10/12/2023,884, 2177,64,Fully Sealed
6,884 x 2397,"Door, Assembly, 2397 x 884mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg  "," $7,949.32 ",10/12/2023,884, 2397,64,Fully Sealed
7,934 x 2097,"Door, Assembly, 2097 x 934mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,600.41 ",10/12/2023,934, 2097,64,Fully Sealed
8,934 x 2177,"Door, Assembly, 2177 x 934mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg  "," $7,600.41 ",10/12/2023,934, 2177,64,Fully Sealed
9,934 x 2397,"Door, Assembly, 2397 x 934mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,949.32 ",10/12/2023,934, 2397,64,Fully Sealed
10,984 x 2097,"Door, Assembly, 2097 x 984mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,600.41 ",10/12/2023,984, 2097,64,Fully Sealed
11,984 x 2177,"Door, Assembly, 2177 x 984mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,600.41 ",10/12/2023,984, 2177,64,Fully Sealed
12,984 x 2397,"Door, Assembly, 2397 x 984mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg  "," $7,949.32 ",10/12/2023,984, 2397,64,Fully Sealed
13,1034 x 2097,"Door, Assembly, 2097 x 1034mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg  "," $7,600.41 ",10/12/2023,103, 2097,64,Fully Sealed
14,1034 x 2177,"Door, Assembly, 2177 x 1034mm (H x W), Personal Access Flood Door (PAFD), Fully Sealed Version, Dwg "," $7,600.41 ",10/12/2023,103, 2177,64,Fully Sealed
