DoorSizeID,Size,Description,MU,UnitOperationalCost,UnitSetupCost,UnitSellToAWMA,TotalPAFDCost,DateEntered,Height,Width,Thickness,ThicknessType,StartDate,EndDate
1,834 x 2097,"Door, Assembly, 2097 x 834mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.7,3543.69,395,6695.773,3938.69,12/10/2023,834,2097,64,Fully Sealed,NULL,NULL
2,834 x 2177,"Door, Assembly, 2177 x 834mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.85,3543.69,395,7286.5765,3938.69,12/10/2023,834,2177,64,Fully Sealed,NULL,NULL
3,834 x 2397,"Door, Assembly, 2397 x 834mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.85,3628.68,395,7443.808,4023.68,12/10/2023,834,2397,64,Fully Sealed,NULL,NULL
4,884 x 2097,"Door, Assembly, 2097 x 884mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.85,3543.69,395,7286.5765,3938.69,12/10/2023,884,2097,64,Fully Sealed,NULL,NULL
5,884 x 2177,"Door, Assembly, 2177 x 884mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.85,3543.69,395,7286.5765,3938.69,12/10/2023,884,2177,64,Fully Sealed,NULL,NULL
6,884 x 2397,"Door, Assembly, 2397 x 884mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.85,3628.68,395,7443.808,4023.68,12/10/2023,884,2397,64,Fully Sealed,NULL,NULL
7,934 x 2097,"Door, Assembly, 2097 x 934mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.85,3543.69,395,7286.5765,3938.69,12/10/2023,934,2097,64,Fully Sealed,NULL,NULL
8,934 x 2177,"Door, Assembly, 2177 x 934mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.85,3543.69,395,7286.5765,3938.69,12/10/2023,934,2177,64,Fully Sealed,NULL,NULL
9,934 x 2397,"Door, Assembly, 2397 x 934mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.85,3628.68,395,7443.808,4023.68,12/10/2023,934,2397,64,Fully Sealed,NULL,NULL
10,984 x 2097,"Door, Assembly, 2097 x 984mm (H x W), Personal Access Flood Door (PAFD), Standard Thickness, Dwg",1.85,3543.69,395,7286.5765,3938.69,12/10/2023,984,2097,64,Fully Sealed,NULL,NULL
